lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.6,22.8,4.746,5.428,10.301,34.832,165.407,360.821,353.17,395.616,197.408,37.087,5.062,1.534,0.15,0.19,0.33,1.16,5.34,12.03,11.39,12.76,6.58,1.20,0.17,0.05
120.35,22.9,4.802,7.752,7.686,35.89,140.753,332.94,268.866,315.43,105.738,7.594,2.597,2.727,0.15,0.28,0.25,1.20,4.54,11.10,8.67,10.18,3.52,0.24,0.09,0.09
120.1,23.1,4.884,8.166,11.676,42.109,99.412,257.913,240.844,233.365,70.374,1.604,2.835,2.978,0.16,0.29,0.38,1.40,3.21,8.60,7.77,7.53,2.35,0.05,0.09,0.10
120.45,22.9,4.986,9.04,7.627,35.034,145.21,360.66,331.412,383.53,139.512,16.257,5.488,3.014,0.16,0.32,0.25,1.17,4.68,12.02,10.69,12.37,4.65,0.52,0.18,0.10
120.65,22.95,4.989,8.878,15.32,43.256,231.097,470.295,430.751,489.493,207.038,31.933,4.852,3.002,0.16,0.32,0.49,1.44,7.45,15.68,13.90,15.79,6.90,1.03,0.16,0.10
120.6,22.35,5.009,2.88,7.227,27.002,106.018,317.016,306.512,371.097,165.22,24.368,3.574,2.369,0.16,0.10,0.23,0.90,3.42,10.57,9.89,11.97,5.51,0.79,0.12,0.08
120.4,22.9,5.03,8.541,9.968,39.498,151.973,364.77,304.268,328.297,130.614,8.656,4.582,3.65,0.16,0.31,0.32,1.32,4.90,12.16,9.82,10.59,4.35,0.28,0.15,0.12
120.35,22.85,5.158,7.113,7.642,39.268,152.355,342.672,293.215,327.602,113.52,9.022,3.049,3.854,0.17,0.25,0.25,1.31,4.91,11.42,9.46,10.57,3.78,0.29,0.10,0.12
120.3,22.55,5.2,4.898,6.94,30.627,120.934,338.271,250.457,284.276,114.369,16.504,3.58,1.748,0.17,0.17,0.22,1.02,3.90,11.28,8.08,9.17,3.81,0.53,0.12,0.06
120.1,23.05,5.211,7.086,10.808,36.912,98.429,262.519,232.272,200.746,62.339,1.628,1.964,2.535,0.17,0.25,0.35,1.23,3.18,8.75,7.49,6.48,2.08,0.05,0.07,0.08
120.3,22.75,5.226,6.944,7.456,38.171,135.371,320.971,268.556,304.49,101.56,10.46,3.224,4.108,0.17,0.25,0.24,1.27,4.37,10.70,8.66,9.82,3.39,0.34,0.11,0.13
120.6,22.9,5.26,7.861,12.56,37.392,205.378,415.523,424.086,469.518,198.47,35.78,4.244,2.475,0.17,0.28,0.41,1.25,6.63,13.85,13.68,15.15,6.62,1.15,0.14,0.08
120.7,22.35,5.276,5.342,8.952,38.584,154.436,384.754,380.97,473.756,248.532,28.974,8.684,4.406,0.17,0.19,0.29,1.29,4.98,12.83,12.29,15.28,8.28,0.93,0.29,0.14
120.25,22.8,5.28,3.534,7.03,35.887,124.259,331.452,231.062,269.828,83.03,4.732,2.822,2.684,0.17,0.13,0.23,1.20,4.01,11.05,7.45,8.70,2.77,0.15,0.09,0.09
